299 2 3.14159,-2 299 -1.5708,2 -299 1.5708,-299 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
296 2 3.14159,-2 296 -1.5708,2 -296 1.5708,-296 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
291 2 3.14159,-2 291 -1.5708,2 -291 1.5708,-291 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
284 2 3.14159,-2 284 -1.5708,2 -284 1.5708,-284 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
275 2 3.14159,-2 275 -1.5708,2 -275 1.5708,-275 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
-2 299 -1.5708,264 2 3.14159,-2 264 -1.5708,2 -264 1.5708,2 -299 1.5708,299 2 3.14159,-264 -2 0,-299 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
-2 296 -1.5708,251 2 3.14159,-2 251 -1.5708,2 -251 1.5708,2 -296 1.5708,296 2 3.14159,-251 -2 0,-296 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
-2 291 -1.5708,236 2 3.14159,-2 236 -1.5708,2 -236 1.5708,2 -291 1.5708,291 2 3.14159,-236 -2 0,-291 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
-2 284 -1.5708,219.665 2 3.14159,-2 219.665 -1.5708,2 -219.665 1.5708,2 -284 1.5708,284 2 3.14159,-219.665 -2 0,-284 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
-2 275 -1.5708,202.995 2 3.14159,-2 202.995 -1.5708,2 -202.995 1.5708,2 -275 1.5708,275 2 3.14159,-202.995 -2 0,-275 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
-2 264 -1.5708,186.325 2 3.14159,299 2 3.14159,2 -299 1.5708,-2 299 -1.5708,-2 186.325 -1.5708,2 -186.325 1.5708,2 -264 1.5708,264 2 3.14159,-186.325 -2 0,-299 -2 0,-264 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
-2 251 -1.5708,169.655 2 3.14159,296 2 3.14159,2 -296 1.5708,-2 296 -1.5708,-2 169.655 -1.5708,2 -169.655 1.5708,2 -251 1.5708,251 2 3.14159,-169.655 -2 0,-296 -2 0,-251 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
-2 236 -1.5708,152.985 2 3.14159,291 2 3.14159,2 -291 1.5708,-2 291 -1.5708,-2 152.985 -1.5708,2 -152.985 1.5708,2 -236 1.5708,236 2 3.14159,-152.985 -2 0,-291 -2 0,-236 -2 0,;road_0_1_0 g,road_1_0_1 r,road_1_2_3 r,road_2_1_2 g,
-2 219.665 -1.5708,136.315 2 3.14159,284 2 3.14159,2 -284 1.5708,-2 284 -1.5708,-2 136.315 -1.5708,2 -136.315 1.5708,2 -219.665 1.5708,219.665 2 3.14159,-136.315 -2 0,-284 -2 0,-219.665 -2 0,;road_0_1_0 r,road_1_0_1 r,road_1_2_3 r,road_2_1_2 r,
