,enter_time,leave_time
flow_3_56,505.0,nan
flow_1_57,514.0,nan
flow_0_57,514.0,nan
flow_3_57,514.0,nan
flow_2_57,514.0,nan
flow_2_58,523.0,nan
flow_1_58,523.0,nan
flow_0_58,523.0,nan
flow_3_58,523.0,nan
flow_2_59,532.0,nan
flow_0_59,532.0,nan
flow_1_59,532.0,nan
flow_3_59,532.0,nan
flow_2_60,541.0,nan
flow_3_60,541.0,nan
flow_1_60,541.0,nan
flow_0_60,541.0,nan
flow_0_61,550.0,nan
flow_1_61,550.0,nan
flow_3_61,550.0,nan
flow_2_61,550.0,nan
flow_2_62,559.0,nan
flow_0_62,559.0,nan
flow_1_62,559.0,nan
flow_3_62,559.0,nan
flow_2_63,568.0,nan
flow_3_63,568.0,nan
flow_1_63,568.0,nan
flow_0_63,568.0,nan
flow_3_64,577.0,nan
flow_1_64,577.0,nan
flow_2_64,577.0,nan
flow_0_64,577.0,nan
flow_3_65,586.0,nan
flow_1_65,586.0,nan
flow_0_65,586.0,nan
flow_2_65,586.0,nan
flow_2_66,595.0,nan
flow_1_66,595.0,nan
flow_0_66,595.0,nan
flow_3_66,595.0,nan
flow_2_67,604.0,nan
flow_3_67,604.0,nan
flow_0_67,604.0,nan
flow_1_67,604.0,nan
flow_3_68,613.0,nan
flow_0_68,613.0,nan
flow_2_68,613.0,nan
flow_1_68,613.0,nan
flow_2_69,622.0,nan
flow_0_69,622.0,nan
flow_1_69,622.0,nan
flow_3_69,622.0,nan
flow_2_70,631.0,nan
flow_1_70,631.0,nan
flow_0_70,631.0,nan
flow_3_70,631.0,nan
flow_0_71,640.0,nan
flow_1_71,640.0,nan
flow_3_71,640.0,nan
flow_2_71,640.0,nan
flow_2_72,649.0,nan
flow_1_72,649.0,nan
flow_3_72,649.0,nan
flow_0_72,649.0,nan
flow_0_73,658.0,nan
flow_1_73,658.0,nan
flow_2_73,658.0,nan
flow_3_73,658.0,nan
flow_1_74,667.0,nan
flow_2_74,667.0,nan
flow_3_74,667.0,nan
flow_0_74,667.0,nan
flow_2_75,676.0,nan
flow_1_75,676.0,nan
flow_0_75,676.0,nan
flow_3_75,676.0,nan
flow_1_76,685.0,nan
flow_3_76,685.0,nan
flow_2_76,685.0,nan
flow_0_76,685.0,nan
flow_0_77,694.0,nan
flow_2_77,694.0,nan
flow_1_77,694.0,nan
flow_3_77,694.0,nan
flow_3_78,703.0,nan
flow_0_78,703.0,nan
flow_1_78,703.0,nan
flow_2_78,703.0,nan
flow_2_79,712.0,nan
flow_1_79,712.0,nan
flow_0_79,712.0,nan
flow_3_79,712.0,nan
flow_2_80,721.0,nan
flow_0_80,721.0,nan
flow_3_80,721.0,nan
flow_1_80,721.0,nan
flow_3_81,730.0,nan
flow_1_81,730.0,nan
flow_0_81,730.0,nan
flow_2_81,730.0,nan
flow_2_82,739.0,nan
flow_3_82,739.0,nan
flow_0_82,739.0,nan
flow_1_82,739.0,nan
flow_0_83,748.0,nan
flow_2_83,748.0,nan
flow_3_83,748.0,nan
flow_1_83,748.0,nan
flow_1_84,757.0,nan
flow_2_84,757.0,nan
flow_0_84,757.0,nan
flow_3_84,757.0,nan
flow_2_85,766.0,nan
flow_0_85,766.0,nan
flow_3_85,766.0,nan
flow_1_85,766.0,nan
flow_3_86,775.0,nan
flow_2_86,775.0,nan
flow_1_86,775.0,nan
flow_0_86,775.0,nan
flow_1_87,784.0,nan
flow_2_87,784.0,nan
flow_3_87,784.0,nan
flow_0_87,784.0,nan
flow_2_88,793.0,nan
flow_1_88,793.0,nan
flow_0_88,793.0,nan
flow_3_88,793.0,nan
flow_0_89,802.0,nan
flow_1_89,802.0,nan
flow_2_89,802.0,nan
flow_3_89,802.0,nan
flow_0_90,811.0,nan
flow_1_90,811.0,nan
flow_2_90,811.0,nan
flow_3_90,811.0,nan
flow_3_91,820.0,nan
flow_1_91,820.0,nan
flow_0_91,820.0,nan
flow_2_91,820.0,nan
flow_1_92,829.0,nan
flow_0_92,829.0,nan
flow_3_92,829.0,nan
flow_2_92,829.0,nan
flow_1_93,838.0,nan
flow_3_93,838.0,nan
flow_2_93,838.0,nan
flow_0_93,838.0,nan
flow_0_94,847.0,nan
flow_2_94,847.0,nan
flow_1_94,847.0,nan
flow_3_94,847.0,nan
flow_3_95,856.0,nan
flow_1_95,856.0,nan
flow_0_95,856.0,nan
flow_2_95,856.0,nan
flow_0_96,865.0,nan
flow_1_96,865.0,nan
flow_3_96,865.0,nan
flow_2_96,865.0,nan
flow_2_97,874.0,nan
flow_3_97,874.0,nan
flow_1_97,874.0,nan
flow_0_97,874.0,nan
flow_2_98,883.0,nan
flow_0_98,883.0,nan
flow_3_98,883.0,nan
flow_1_98,883.0,nan
flow_1_99,892.0,nan
flow_2_99,892.0,nan
flow_0_99,892.0,nan
flow_3_99,892.0,nan
flow_3_100,901.0,nan
flow_1_100,901.0,nan
flow_0_100,901.0,nan
flow_2_100,901.0,nan
flow_3_101,910.0,nan
flow_2_101,910.0,nan
flow_1_101,910.0,nan
flow_0_101,910.0,nan
flow_1_102,919.0,nan
flow_0_102,919.0,nan
flow_2_102,919.0,nan
flow_3_102,919.0,nan
flow_0_103,928.0,nan
flow_1_103,928.0,nan
flow_3_103,928.0,nan
flow_2_103,928.0,nan
flow_2_104,937.0,nan
flow_1_104,937.0,nan
flow_0_104,937.0,nan
flow_3_104,937.0,nan
flow_1_105,946.0,nan
flow_0_105,946.0,nan
flow_3_105,946.0,nan
flow_2_105,946.0,nan
flow_3_106,955.0,nan
flow_2_106,955.0,nan
flow_1_106,955.0,nan
flow_0_106,955.0,nan
flow_2_107,964.0,nan
flow_3_107,964.0,nan
flow_1_107,964.0,nan
flow_0_107,964.0,nan
flow_2_108,973.0,nan
flow_3_108,973.0,nan
flow_1_108,973.0,nan
flow_0_108,973.0,nan
flow_1_109,982.0,nan
flow_2_109,982.0,nan
flow_0_109,982.0,nan
flow_3_109,982.0,nan
flow_1_110,991.0,nan
flow_3_110,991.0,nan
flow_2_110,991.0,nan
flow_0_110,991.0,nan
flow_2_111,1000.0,nan
flow_0_111,1000.0,nan
flow_1_111,1000.0,nan
flow_3_111,1000.0,nan
flow_0_112,1009.0,nan
flow_3_112,1009.0,nan
flow_2_112,1009.0,nan
flow_1_112,1009.0,nan
flow_3_113,1018.0,nan
flow_1_113,1018.0,nan
