4.5 -64.465 1.5708,-64.465 -4.5 0,-4.5 64.465 -1.5708,-4.5 220.005 -1.5708,64.465 4.5 3.14159,220.005 4.5 3.14159,4.5 -220.005 1.5708,-220.005 -4.5 0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
4.5 -53.355 1.5708,-53.355 -4.5 0,-4.5 53.355 -1.5708,-4.5 208.895 -1.5708,53.355 4.5 3.14159,208.895 4.5 3.14159,4.5 -208.895 1.5708,-208.895 -4.5 0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
4.5 -42.245 1.5708,-42.245 -4.5 0,-4.5 42.245 -1.5708,-4.5 197.785 -1.5708,42.245 4.5 3.14159,197.785 4.5 3.14159,4.5 -197.785 1.5708,-197.785 -4.5 0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
4.5 -31.135 1.5708,-31.135 -4.5 0,-4.5 31.135 -1.5708,-4.5 186.675 -1.5708,31.135 4.5 3.14159,186.675 4.5 3.14159,4.5 -186.675 1.5708,-186.675 -4.5 0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
4.5 -21.4137 1.5708,-20.025 -4.5 0,-4.5 21.4137 -1.5708,-4.5 175.565 -1.5708,20.025 4.5 3.14159,175.565 4.5 3.14159,4.5 -175.565 1.5708,-175.565 -4.5 0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
4.5 -14.47 1.5708,-8.915 -4.5 0,-299 -4.5 0,-4.5 14.47 -1.5708,-4.5 164.455 -1.5708,299 4.5 3.14159,8.915 4.5 3.14159,164.455 4.5 3.14159,4.5 -299 1.5708,-4.5 299 -1.5708,4.5 -164.455 1.5708,-164.455 -4.5 0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
4.5 -10.3037 1.5708,2.195 -4.5 0,-296 -4.5 0,-4.5 10.3037 -1.5708,-4.5 153.345 -1.5708,296 4.5 3.14159,-2.195 4.5 3.14159,153.345 4.5 3.14159,4.5 -296 1.5708,-4.5 296 -1.5708,4.5 -153.345 1.5708,-153.345 -4.5 0,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
4.5 -8.915 1.5708,13.305 -4.5 0,-291 -4.5 0,-4.5 8.915 -1.5708,-4.5 142.235 -1.5708,291 4.5 3.14159,-13.305 4.5 3.14159,142.235 4.5 3.14159,4.5 -291 1.5708,-4.5 291 -1.5708,4.5 -142.235 1.5708,-142.235 -4.5 0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
4.5 -8.915 1.5708,24.415 -4.5 0,-284 -4.5 0,-4.5 8.915 -1.5708,-4.5 131.125 -1.5708,284 4.5 3.14159,-24.415 4.5 3.14159,131.125 4.5 3.14159,4.5 -284 1.5708,-4.5 284 -1.5708,4.5 -131.125 1.5708,-131.125 -4.5 0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
4.5 -8.915 1.5708,35.525 -4.5 0,-275 -4.5 0,-4.5 8.915 -1.5708,-4.5 120.015 -1.5708,275 4.5 3.14159,-35.525 4.5 3.14159,120.015 4.5 3.14159,4.5 -275 1.5708,-4.5 275 -1.5708,4.5 -120.015 1.5708,-120.015 -4.5 0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
4.5 -8.915 1.5708,46.635 -4.5 0,-264.445 -4.5 0,-4.5 8.915 -1.5708,-4.5 108.905 -1.5708,264.445 4.5 3.14159,-46.635 4.5 3.14159,108.905 4.5 3.14159,4.5 -264.445 1.5708,-4.5 264.445 -1.5708,4.5 -108.905 1.5708,-108.905 -4.5 0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
4.5 -8.915 1.5708,57.745 -4.5 0,-253.335 -4.5 0,-4.5 8.915 -1.5708,-4.5 97.795 -1.5708,253.335 4.5 3.14159,-57.745 4.5 3.14159,97.795 4.5 3.14159,4.5 -253.335 1.5708,-4.5 253.335 -1.5708,4.5 -97.795 1.5708,-97.795 -4.5 0,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r r,
4.5 -7.915 1.5708,68.855 -4.5 0,-242.225 -4.5 0,-4.5 7.915 -1.5708,-4.5 86.685 -1.5708,242.225 4.5 3.14159,-68.855 4.5 3.14159,86.685 4.5 3.14159,4.5 -242.225 1.5708,-4.5 242.225 -1.5708,4.5 -86.685 1.5708,-86.685 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
4.5 -4.915 1.5708,79.965 -4.5 0,-231.115 -4.5 0,-4.5 4.915 -1.5708,-4.5 75.575 -1.5708,231.115 4.5 3.14159,-79.965 4.5 3.14159,75.575 4.5 3.14159,4.5 -231.115 1.5708,-4.5 231.115 -1.5708,4.5 -75.575 1.5708,-75.575 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
4.5 0.085 1.5708,91.075 -4.5 0,-220.005 -4.5 0,-4.5 -0.085 -1.5708,-4.5 64.465 -1.5708,220.005 4.5 3.14159,-91.075 4.5 3.14159,64.465 4.5 3.14159,4.5 -220.005 1.5708,-4.5 220.005 -1.5708,4.5 -64.465 1.5708,-64.465 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
4.5 7.085 1.5708,102.185 -4.5 0,-208.895 -4.5 0,-4.5 -7.085 -1.5708,-4.5 53.355 -1.5708,208.895 4.5 3.14159,-102.185 4.5 3.14159,53.355 4.5 3.14159,4.5 -208.895 1.5708,-4.5 208.895 -1.5708,4.5 -53.355 1.5708,-53.355 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
4.5 16.085 1.5708,113.295 -4.5 0,-197.785 -4.5 0,-4.5 -16.085 -1.5708,-4.5 42.245 -1.5708,197.785 4.5 3.14159,-113.295 4.5 3.14159,42.245 4.5 3.14159,4.5 -197.785 1.5708,-4.5 197.785 -1.5708,4.5 -42.245 1.5708,-42.245 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
4.5 26.64 1.5708,124.405 -4.5 0,-186.675 -4.5 0,-4.5 -26.64 -1.5708,-4.5 31.135 -1.5708,186.675 4.5 3.14159,-124.405 4.5 3.14159,31.135 4.5 3.14159,4.5 -186.675 1.5708,-4.5 186.675 -1.5708,4.5 -31.135 1.5708,-31.135 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
4.5 37.75 1.5708,135.515 -4.5 0,-175.565 -4.5 0,-4.5 -37.75 -1.5708,-4.5 20.025 -1.5708,175.565 4.5 3.14159,-135.515 4.5 3.14159,21.4137 4.5 3.14159,4.5 -175.565 1.5708,-4.5 175.565 -1.5708,4.5 -20.025 1.5708,-21.4137 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
4.5 48.86 1.5708,146.625 -4.5 0,-164.455 -4.5 0,-4.5 -48.86 -1.5708,-4.5 8.915 -1.5708,164.455 4.5 3.14159,-146.625 4.5 3.14159,14.47 4.5 3.14159,4.5 -164.455 1.5708,-4.5 164.455 -1.5708,4.5 -8.915 1.5708,-14.47 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 299 -1.5708,4.5 59.97 1.5708,157.735 -4.5 0,-153.345 -4.5 0,-4.5 -59.97 -1.5708,-299 -4.5 0,4.5 -299 1.5708,-4.5 -2.195 -1.5708,153.345 4.5 3.14159,-157.735 4.5 3.14159,299 4.5 3.14159,10.3037 4.5 3.14159,4.5 -153.345 1.5708,-4.5 153.345 -1.5708,4.5 2.195 1.5708,-10.3037 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 296 -1.5708,4.5 71.08 1.5708,168.845 -4.5 0,-142.235 -4.5 0,-4.5 -71.08 -1.5708,-296 -4.5 0,4.5 -296 1.5708,-4.5 -13.305 -1.5708,142.235 4.5 3.14159,-168.845 4.5 3.14159,296 4.5 3.14159,8.915 4.5 3.14159,4.5 -142.235 1.5708,-4.5 142.235 -1.5708,4.5 13.305 1.5708,-8.915 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
